Ticket,Status,Comment
TICKET-ADV048,Completed,Nothing to do;project remains a single maven module
TICKET-ADV049,Completed,Nothing to do
TICKET-ADV050,Completed,`Trade` entity fixed;`JpaConfig` class not added as auditing already enabled in main `ReconxApplication`
TICKET-ADV051,Completed,Added `metadata` JSONB field to `instruments` entity and fixed `002-schema.xml` file;H2 run in PostgreSQL compatibity mode so it works
TICKET-ADV052,Completed,Nothing to do;Audit requires schema change and table creation
TICKET-ADV053,Completed,Nothing to do;DTOs already present
TICKET-ADV054,Completed,Updated `TradeMapper`
TICKET-ADV055,Completed,Nothing to do
TICKET-ADV056,Completed,Added Trade specifications to avoid creating a query method for each possible combination
TICKET-ADV057,Completed,Added `TradeService.list()` to fetch trades based on custom `TradeSpecifications`;`TradeController` now delegates to `TradeService.list()` for trades
TICKET-ADV058,Completed,Swagger/OpenAPI configuration with public and admin endpoint groups
TICKET-ADV059,Completed,Custom `DatabaseHealthIndicator` with own SQL and timeout
TICKET-ADV060,Completed,Conditional `KafkaHealthIndicator` registered only when bootstrap-servers is set
TICKET-ADV061,Completed,Structured logging with MDC correlationId and tradeRef propagation
